"","ID_Point","Latitude","Longitude","Name","Description","Rich","sub9","Name_fish","Year_sampling","LUyear0.sub9","LUyear0.mont","Duration_70","Duration_50","Duration_30","NanosLU"
"P0691","P0691",-22.316444,-54.185167,"Pt18","fish_Cerrado_MS3",3,41,"P0691",2016,92.34692954,99.56455476,31,31,31,31
"P0693","P0693",-22.523583,-55.466,"Pt20","fish_Cerrado_MS3",2,35,"P0693",2016,84.77387042,95.79238329,31,31,31,31
"P0700","P0700",-21.618944,-54.630778,"Pt27","fish_Cerrado_MS3",8,47,"P0700",2016,81.1395724,83.41176471,31,31,31,31
"P0705","P0705",-22.232833,-54.149056,"Pt32","fish_Cerrado_MS3",12,44,"P0705",2016,93.70910585,96.92329505,31,31,31,31
"P0713","P0713",-22.157444,-55.57175,"Pt40","fish_Cerrado_MS3",6,122,"P0713",2016,79.31890226,91.86851211,31,31,31,31
"P0714","P0714",-21.766028,-55.568667,"Pt42","fish_Cerrado_MS3",2,53,"P0714",2016,86.03823019,85.58239429,31,31,31,31
"P0717","P0717",-21.303694,-55.436667,"Pt45","fish_Cerrado_MS3",11,50,"P0717",2016,87.47747629,89.29928561,31,31,31,31
"P0718","P0718",-21.216028,-55.416278,"Pt46","fish_Cerrado_MS3",11,50,"P0718",2016,87.47747629,93.99339934,31,31,31,31
"P0720","P0720",-22.006639,-53.551806,"Pt48","fish_Cerrado_MS3",18,62,"P0720",2016,83.3052492,92.65306122,23,31,31,31
"P0721","P0721",-22.270111,-54.270278,"Pt49","fish_Cerrado_MS3",5,41,"P0721",2016,92.34692954,88.45437616,31,31,31,31
"P0722","P0722",-22.185083,-54.316972,"Pt50","fish_Cerrado_MS3",4,41,"P0722",2016,92.34692954,92.38465983,31,31,31,31
"P0730","P0730",-21.871722,-54.446889,"Pt58","fish_Cerrado_MS3",9,45,"P0730",2016,81.36383493,91.49223498,31,31,31,31
"P0731","P0731",-22.504472,-55.3135,"Pt62","fish_Cerrado_MS3",5,36,"P0731",2013,84.2075077,86.05509395,28,28,28,28
"P0737","P0737",-22.422111,-54.278222,"Pt68","fish_Cerrado_MS3",14,41,"P0737",2016,92.34692954,94.79914947,31,31,31,31
"P0738","P0738",-22.180389,-54.109972,"Pt69","fish_Cerrado_MS3",10,44,"P0738",2016,93.70910585,92.41133455,31,31,31,31
"P0739","P0739",-22.145222,-54.140056,"Pt70","fish_Cerrado_MS3",8,44,"P0739",2016,93.70910585,91.81497392,31,31,31,31
"P0740","P0740",-22.170194,-54.136111,"Pt71","fish_Cerrado_MS3",10,44,"P0740",2016,93.70910585,93.51460222,31,31,31,31
"P0742","P0742",-22.487917,-54.351694,"Pt73","fish_Cerrado_MS3",5,41,"P0742",2016,92.34692954,93.87019231,31,31,31,31
